task_id,base_graph_id,split,size_m,dilution_score,p_feas,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_cutoff_energy
task-p3-532c0b733963cd83,g-3115314f81a28bbb,interpolation_holdout,14,4.214419939295737,0.0405869460567998,False,0.0405869460567997,1.0588235294117647
task-p3-637cd4a394ea5ec5,g-3115314f81a28bbb,interpolation_holdout,14,3.9133899436317554,0.0759087257709413,False,0.0759087257709414,1.1040496600650311
task-p3-af2e45905d5b5830,g-3115314f81a28bbb,interpolation_holdout,14,3.737298684576074,0.0570879023912703,False,0.0570879023912705,1.1040496600650311
task-p3-b9dd71000e12239c,g-3115314f81a28bbb,interpolation_holdout,14,3.36932189928148,0.0672079805158051,False,0.0672079805158049,1.1291752882057349
task-p3-c23931c80ca8aabc,g-3115314f81a28bbb,interpolation_holdout,14,3.515449934959718,0.0267757776417687,False,0.0267757776417687,1.1528229382205144
task-p3-c2e04610be1de706,g-3115314f81a28bbb,interpolation_holdout,14,3.612359947967774,0.0680337348070372,False,0.0680337348070372,1.1040496600650311
task-p3-16186a45a0ad115e,g-340c0c88fcc14180,interpolation_holdout,16,4.515449934959718,0.013089746590458,False,0.013089746590458,1.0545832611332526
task-p3-5a7f924be84e4cd2,g-340c0c88fcc14180,interpolation_holdout,16,3.8622374211843744,0.0163978450740279,False,0.016397845074028,1.0991162710102236
task-p3-813e6ecb87aa1459,g-340c0c88fcc14180,interpolation_holdout,16,4.214419939295737,0.0230270192437796,False,0.0230270192437796,1.089066019753942
task-p3-8f9e81134b8fce23,g-340c0c88fcc14180,interpolation_holdout,16,4.038328680240055,0.0271133928503359,False,0.027113392850336,1.0940911453820827
task-p3-d897f06a5740a3d0,g-340c0c88fcc14180,interpolation_holdout,16,4.816479930623699,0.0149171036592643,False,0.0149171036592643,1.0746837636458153
task-p3-f0813208348e0348,g-340c0c88fcc14180,interpolation_holdout,16,4.339358675904037,0.0139320012901093,False,0.0139320012901094,1.0596083867613932
task-p3-1ae613e86a004496,g-b4c9d2e42a3dc98f,interpolation_holdout,18,5.11750992628768,0.0160475230330357,False,0.0160475230330357,1.065555047967108
task-p3-3c5e82ecf78492d7,g-b4c9d2e42a3dc98f,interpolation_holdout,18,5.418539921951662,0.0095463939492113,False,0.0095463939492113,1.065555047967108
task-p3-5714bc0aef7395ba,g-b4c9d2e42a3dc98f,interpolation_holdout,18,4.573441881937405,0.0366595148354868,False,0.0366595148354868,1.065555047967108
task-p3-6eb51db4d2a7c69c,g-b4c9d2e42a3dc98f,interpolation_holdout,18,4.941418667231999,0.0194920825688175,False,0.0194920825688175,1.0756052992233895
task-p3-7e439fa4cc3f1645,g-b4c9d2e42a3dc98f,interpolation_holdout,18,4.377147236793436,0.038114143014788,False,0.0381141430147881,1.0906806761078118
task-p3-a97437a83b16b0e8,g-b4c9d2e42a3dc98f,interpolation_holdout,18,4.816479930623699,0.0277081266389929,False,0.0277081266389929,1.065555047967108
